"productIndex","storeId","sku","productName","price","date","description","imageUrl"
"1","Store-1","PR22001","Clay Plant Pot","9.99","08/06/22","<p>Classic blown clay pot for plants test</p>","https://burst.shopifycdn.com/photos/single-sprout-in-a-pot_925x.jpg"
"2","PSID-1","PR22002","Clay Plant Pot - Large","15.99","08/06/22","<p>Classic blown clay pot for big plants</p>","https://burst.shopifycdn.com/photos/pot-with-a-single-sprout_925x.jpg"
"3","PSID-7","PR22003","Copper Light","59.99","08/06/22","<p>Stylish copper bedside light test</p>","https://burst.shopifycdn.com/photos/copper-light-in-bedroom_925x.jpg"
"4","PSID-1","PR22004","Cream Sofa","500","08/06/22","<p>Comfortable cream sofa with wooden base</p>","https://burst.shopifycdn.com/photos/condominium-interior-livingroom_925x.jpg"
"5","PSID-1","PR22005","Antique Drawers","250","08/06/22","<p>Antique wooden chest of drawers</p>","https://burst.shopifycdn.com/photos/babys-room_925x.jpg"
"6","PSID-1","PR22006","White Bed Clothes","29.99","08/06/22","<p>Sleek white bed clothes</p>","https://burst.shopifycdn.com/photos/bright-hotel-room-bed_925x.jpg"
"7","PSID-2","PR22007","Pink Armchair","77.0","08/06/22","<p>Stylish pink armchair</p>","https://burst.shopifycdn.com/photos/soft-pink-cushioned-armchair-in-stately-salon_925x.jpg"
"8","PSID-3","PR22008","Wooden Outdoor Table","99.99","08/06/22","<p>Chic wooden outdoor garden table</p>","https://burst.shopifycdn.com/photos/cafe-patio_925x.jpg"
"9","PSID-4","PR22009","Brown Throw Pillows","19.99","08/06/22","<p>Stylish brown throw pillows</p>","https://burst.shopifycdn.com/photos/bedroom-bed-with-brown-throw-pillows_925x.jpg"
"10","PSID-5","PR22010","White Ceramic Pot","15.99","08/06/22","<p>Homemade white ceramic flower pot</p>","https://burst.shopifycdn.com/photos/house-plant-in-white-pot_925x.jpg"
"11","PSID-7","PR22011","Yellow watering can - UI Test","50.0","08/06/22","<p>Vintage vibrant watering can</p>","https://burst.shopifycdn.com/photos/flowers-in-yellow-watering-can_925x.jpg"
"12","PSID-6","PR22012","Gardening hand trowel","10.99","08/06/22","<p>Metal gardening hand trowel with wooden handle</p>","https://burst.shopifycdn.com/photos/spring-gardening-set-up_925x.jpg"
"13","PSID-6","PR22013","Biodegradable cardboard pots","10","08/06/22","<p>Biodegradable outdoor cardboard pots</p>","https://burst.shopifycdn.com/photos/potted-seeds_925x.jpg"
"14","PSID-6","PR22014","Grey Sofa","29.99","08/06/22","<p>Large  four seater grey sofa</p>","https://burst.shopifycdn.com/photos/large-grey-sofa-by-brick-wall_925x.jpg"
"15","PSID-6","PR22015","Wooden outdoor slats","100.0","08/06/22","<p>Wooden outdoor fencing slats - UI Test</p>","https://burst.shopifycdn.com/photos/house-plant-on-wooden-slat-wall_925x.jpg"
"16","PSID-6","PR22016","Wooden Fence","200","08/06/22","<p>Wooden garden fence</p>","https://burst.shopifycdn.com/photos/picket-fence-flowers_925x.jpg"
"17","PSID-7","PR22017","Yellow Sofa","99.99","08/06/22","<p>Two seater yellow sofa with wooden legs</p>","https://burst.shopifycdn.com/photos/yellow-couch-by-black-and-white-mural_925x.jpg"
"18","PSID-8","PR22018","Knitted Throw Pillows","19.99","08/06/22","<p>Homemade knitted throw pillows in a variety of colors</p>","https://burst.shopifycdn.com/photos/yellow-sofa-with-throw-pillows_925x.jpg"
"19","PSID-9","PR22019","Vanilla candle","15.99","08/06/22","<p>Vanilla scent candle in jar</p>","https://burst.shopifycdn.com/photos/diy-organic-candle_925x.jpg"
"20","PSID-10","PR22020","Black Beanbag testing last","69.99","08/06/22","<p>Black leather beanbag last</p>","https://burst.shopifycdn.com/photos/comfortable-living-room-cat_925x.jpg"
"21","PSID-7","PR22021","Copper Light sample","59.99","08/06/22","<p>Stylish copper bedside light test</p>","https://burst.shopifycdn.com/photos/copper-light-in-bedroom_925x.jpg"
"22","PSID-7","PR22022","Copper Light sample last","59.99","08/06/22","<p>Stylish copper bedside light last</p>","https://burst.shopifycdn.com/photos/copper-light-in-bedroom_925x.jpg"
"23","PSID-7","PR22023","Garderning tools","100.0","10/06/2022","Garderning tools helps to plant lot of trees","https://burst.shopifycdn.com/photos/house-plant-in-white-pot_925x.jpg"
